Image Type,Model,Fold,Accuracy,Precision,Recall,F1 Score,Cohen's Kappa
melspectrogram,resnet18,1,86.83,86.75,86.83,86.66,85.37
melspectrogram,resnet18,2,88.83,88.83,88.83,88.77,87.59
melspectrogram,resnet18,3,85.31,85.31,85.32,85.17,83.68
melspectrogram,resnet18,4,87.98,88.15,87.99,87.98,86.64
melspectrogram,resnet18,5,85.98,85.93,85.99,85.72,84.42
melspectrogram,mobilenet_v2,1,80.67,80.51,80.67,80.33,78.52
melspectrogram,mobilenet_v2,2,82.33,82.41,82.33,82.36,80.37
melspectrogram,mobilenet_v2,3,78.80,78.54,78.82,78.42,76.44
melspectrogram,mobilenet_v2,4,80.47,80.39,80.48,80.31,78.30
melspectrogram,mobilenet_v2,5,80.80,80.64,80.82,80.61,78.67
melspectrogram,efficientnet_b0,1,86.50,86.42,86.50,86.40,85.00
melspectrogram,efficientnet_b0,2,88.83,89.24,88.83,88.92,87.59
melspectrogram,efficientnet_b0,3,87.31,87.18,87.32,87.07,85.90
melspectrogram,efficientnet_b0,4,87.98,88.19,87.98,88.00,86.64
melspectrogram,efficientnet_b0,5,85.81,86.22,85.82,85.77,84.23
spectrogram,resnet18,1,84.33,84.32,84.33,84.16,82.59
spectrogram,resnet18,2,83.33,83.05,83.33,83.10,81.48
spectrogram,resnet18,3,84.97,85.14,84.99,84.99,83.31
spectrogram,resnet18,4,84.14,84.25,84.15,83.98,82.38
spectrogram,resnet18,5,86.31,86.37,86.32,86.22,84.79
spectrogram,mobilenet_v2,1,73.50,73.70,73.50,73.13,70.56
spectrogram,mobilenet_v2,2,79.83,79.48,79.83,79.45,77.59
spectrogram,mobilenet_v2,3,77.13,76.91,77.15,76.91,74.59
spectrogram,mobilenet_v2,4,75.63,75.64,75.65,75.18,72.92
spectrogram,mobilenet_v2,5,75.46,75.15,75.48,74.98,72.73
spectrogram,efficientnet_b0,1,85.00,84.77,85.00,84.82,83.33
spectrogram,efficientnet_b0,2,85.33,85.44,85.33,85.25,83.70
spectrogram,efficientnet_b0,3,84.64,84.37,84.65,84.41,82.93
spectrogram,efficientnet_b0,4,86.14,86.04,86.15,85.94,84.60
spectrogram,efficientnet_b0,5,86.31,86.31,86.32,86.23,84.79
chromagram,resnet18,1,61.17,60.08,61.17,60.21,56.85
chromagram,resnet18,2,60.33,59.55,60.33,59.59,55.93
chromagram,resnet18,3,57.43,56.88,57.48,56.75,52.70
chromagram,resnet18,4,60.60,59.92,60.62,59.89,56.22
chromagram,resnet18,5,58.93,57.96,58.96,58.09,54.37
chromagram,mobilenet_v2,1,53.83,54.07,53.83,53.51,48.70
chromagram,mobilenet_v2,2,49.83,50.13,49.83,49.68,44.26
chromagram,mobilenet_v2,3,50.92,50.87,50.93,50.58,45.46
chromagram,mobilenet_v2,4,51.75,50.41,51.77,50.91,46.39
chromagram,mobilenet_v2,5,50.25,49.60,50.27,49.04,44.72
chromagram,efficientnet_b0,1,55.83,55.72,55.83,55.53,50.93
chromagram,efficientnet_b0,2,60.33,61.84,60.33,60.68,55.93
chromagram,efficientnet_b0,3,58.10,57.61,58.12,57.47,53.44
chromagram,efficientnet_b0,4,61.10,61.42,61.13,61.13,56.78
chromagram,efficientnet_b0,5,57.76,56.98,57.80,56.79,53.07
